date,cash,market_value,equity,total_return_pct,positions,pending_orders,candidate_rows,exit_signals
2026-07-01,1000000.0,0.0,1000000.0,0.0,0.0,5.0,30.0,0.0
2026-07-03,256.0681133001053,1047259.0,1047515.0681133,4.751506811330003,5.0,0.0,30.0,0.0
2026-07-06,256.0681133001053,1053424.0,1053680.0681133,5.368006811330005,5.0,0.0,30.0,0.0
2026-07-07,256.0681133001053,1088100.0,1088356.0681133,8.835606811329995,5.0,1.0,30.0,1.0
2026-07-08,166056.43657850008,898106.0,1064162.4365785,6.416243657850004,4.0,1.0,30.0,0.0
2026-07-09,956.8043810001108,1076896.0,1077852.804381,7.785280438100003,5.0,0.0,30.0,0.0
2026-07-13,956.8043810001108,1006809.0,1007765.804381,0.7765804381000123,5.0,0.0,30.0,0.0
2026-07-14,956.8043810001108,979327.0,980283.804381,-1.9716195618999848,5.0,0.0,30.0,0.0
2026-07-15,956.8043810001108,997651.0,998607.804381,-0.1392195618999778,5.0,0.0,30.0,0.0
2026-07-16,956.8043810001108,1001725.0,1002681.804381,0.2681804381000177,5.0,0.0,30.0,0.0
2026-07-17,956.8043810001108,940322.0,941278.804381,-5.872119561899993,5.0,0.0,30.0,0.0
2026-07-20,956.8043810001108,889857.0,890813.8043810001,-10.918619561899988,5.0,2.0,30.0,2.0
2026-07-21,284928.1272275751,607570.0,892498.127227575,-10.750187277242487,3.0,2.0,30.0,0.0
2026-07-22,26.509708591809613,899738.9984207153,899765.5081293072,-10.023449187069277,5.0,0.0,30.0,0.0
2026-07-23,26.509708591809613,894331.5,894358.0097085919,-10.564199029140823,5.0,0.0,30.0,0.0
2026-07-24,26.509708591809613,867073.0031585693,867099.5128671612,-13.29004871328388,5.0,0.0,30.0,0.0
2026-07-27,26.509708591809613,884210.0015792847,884236.5112878765,-11.576348871212346,5.0,0.0,30.0,0.0
2026-07-28,26.509708591809613,824760.5031585693,824787.0128671612,-17.521298713283883,5.0,0.0,30.0,0.0
2026-07-29,26.509708591809613,805107.0,805133.5097085919,-19.486649029140807,5.0,1.0,30.0,1.0
2026-07-30,158813.10406869178,633940.9968414307,792754.1009101225,-20.72458990898774,4.0,1.0,30.0,0.0
2026-07-31,16.228018379304558,821629.5021018982,821645.7301202775,-17.83542698797224,5.0,0.0,30.0,0.0
2026-08-03,16.228018379304558,862288.9989433289,862305.2269617082,-13.769477303829175,5.0,0.0,30.0,0.0
2026-08-04,16.228018379304558,888244.5015792847,888260.729597664,-11.173927040233592,5.0,0.0,30.0,0.0
2026-08-05,16.228018379304558,909777.5036811827,909793.7316995622,-9.02062683004378,5.0,0.0,30.0,0.0
2026-08-06,16.228018379304558,918922.0010566711,918938.2290750504,-8.10617709249496,5.0,0.0,30.0,0.0
2026-08-07,16.228018379304558,944436.998954773,944453.2269731524,-5.55467730268478,5.0,0.0,30.0,0.0
2026-08-10,16.228018379304558,981470.9978981018,981487.2259164811,-1.8512774083518906,5.0,0.0,30.0,0.0
