date,symbol,name,Close,market_regime,fundamental_rank_score,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-08-06,2395.TW,研華,622.0,neutral,-49.0,49.0,87.43653384699755,83.39626485466958,82.04950852389359,0.4127591861511006,0.0296296296296296,0.0565338276181649,0.1371115173674588,0.1766243251858974,0.3390742734122713,72.9957805907173,2.515192048273692,0.1122209172388393
2026-08-06,2101.TW,南港,34.599998474121094,neutral,-68.0,68.0,82.80478413647866,64.46544049693385,58.35232595041892,0.7209482062887194,0.2111111111111111,0.2919369786839666,0.066255706028738,0.017647013944738,0.066255706028738,56.12243150285012,0.8762602732664373,0.0288432516388821
2026-08-06,1476.TW,儒鴻,364.5,neutral,-71.0,71.0,82.3980197254144,76.28616368680204,74.24887834059793,0.5596832345417365,0.0694444444444444,0.2465245597775718,0.0355113636363635,0.0880597014925372,0.0921026764888162,72.79411764705883,1.2516628441714568,0.064777623603301
2026-08-06,2527.TW,宏璟,45.95000076293945,neutral,-75.0,75.0,82.24426248497689,74.63321171903479,72.0961947970541,0.7257400572939681,0.0796296296296296,0.051899907321594,0.1331689673854197,0.0786385541974479,0.3475074140490497,45.51148717600759,0.6886316211805334,0.0093909764277939
2026-08-06,4763.TW,材料*-KY,49.650001525878906,neutral,-83.0,83.0,80.5798896395777,70.52111114173127,67.16818497578245,0.4721819201218574,0.1342592592592592,0.1195551436515292,0.0430672923838926,0.0430672923838926,0.200725595115859,63.78206241138779,0.6365807828024505,0.027312261623352
2026-08-06,5515.TW,建國,42.400001525878906,neutral,-104.0,104.0,76.63848749386133,70.7221890021272,68.75008950488248,0.8028560920660788,0.1703703703703703,0.1362372567191844,-0.011655011240463,0.0291262315708229,0.180975414253341,54.040418830575874,0.6096561363186058,-0.0007658926753169
2026-08-06,3034.TW,聯詠,543.0,neutral,-116.0,116.0,75.54535048945058,66.5622152034733,63.5678367748142,0.8395845904184223,0.1296296296296296,0.201112140871177,0.105906313645621,0.0462427745664739,0.1161356628982528,72.85318559556787,0.5752492551170995,0.0898143502257902
2026-08-06,2539.TW,櫻花建,43.09999847412109,neutral,-129.0,129.0,74.05495514883755,77.14627823181074,78.17671925946847,0.265319460606604,0.0564814814814814,0.2409638554216867,0.0034923797093633,0.0966920944231743,0.0966920944231743,63.5294133486639,0.9077544489178652,0.0444686323889795
2026-08-06,4736.TW,泰博,129.0,neutral,-136.0,136.0,73.12470502530472,64.6054625726145,61.76571508838442,0.48744088753014,0.187037037037037,0.3113994439295644,0.0157480314960629,0.0238095238095237,0.0573770491803278,50.0,0.5857851668580596,0.0019417475728156
2026-08-06,1341.TW,富林-KY,59.29999923706055,neutral,-142.0,142.0,72.53331110056003,69.40289126774132,68.35941799013509,0.7039768425667907,0.2064814814814815,0.3642261353104726,0.0224137799493198,0.0189003171769981,0.0375895058955513,55.07247097926634,1.6822097319475409,0.0111688832792988
2026-08-06,1808.TW,潤隆,31.850000381469727,neutral,-149.0,149.0,72.1127428848662,67.81253465541488,66.37913191226444,0.7121933098708698,0.1027777777777777,0.2215013901760889,-0.0184899959125725,0.0581395341468946,0.1020761523141318,46.464639069552014,0.8042359080000041,-0.0010193584175157
2026-08-06,1438.TW,三地開發,22.450000762939453,neutral,-178.0,178.0,68.22752717503778,67.61497190357177,67.4107868130831,0.9439224466313756,0.1888888888888888,0.283595922150139,-0.0323275851437935,0.0227790424884268,0.0690476553780692,66.66666666666674,0.5899325627826016,0.0175637739575955
2026-08-06,2027.TW,大成鋼,46.09999847412109,neutral,-180.0,180.0,67.77515994414823,77.12161667411448,80.2371022507699,0.5057726971845532,0.0203703703703703,0.1149212233549582,0.0549198551322909,0.1979933317915014,0.2099737616901453,69.96335655314613,2.032503440554984,0.0874166921131729
2026-08-06,6598.TW,ABC-KY,30.14999961853028,neutral,-181.0,181.0,67.77168793520316,81.49009456313499,86.0628967724456,0.5669236030503576,0.0064814814814814,0.0898980537534754,0.0486956389054009,0.3194747971637017,0.2484472088933782,58.50340091921224,0.6719825436578215,0.0753454984725598
2026-08-06,2535.TW,達欣工,93.0,neutral,-196.0,196.0,66.50740970485359,71.87891184900329,73.66941256371985,0.8950526669379147,0.1189814814814814,0.098239110287303,0.0763888698791774,0.0508474576271187,0.24,70.96776257694621,3.486813479448668,0.0563380171841625
2026-08-06,6605.TW,帝寶,138.0,neutral,-210.0,210.0,64.93006759035887,60.49050067685425,59.01064503901938,0.5942783179515061,0.0583333333333333,0.3531047265987025,0.0494296577946768,0.0952380952380953,0.0415094339622641,71.42857142857143,1.0702422395002669,0.0480349344978165
2026-08-06,4536.TW,拓凱,167.5,neutral,-213.0,213.0,64.73287402560862,61.73058183332695,60.72981776923306,0.6884920800712343,0.1851851851851851,0.2316960148285449,0.0182370820668693,0.0246114215731159,0.098360655737705,57.14285714285714,0.609856149495485,0.0163618557745983
2026-08-06,6606.TW,建德工業,26.0,neutral,-226.0,226.0,63.7605672758917,65.62204141753199,66.24253279807874,0.4758523377808365,0.1435185185185185,0.2817423540315106,0.0097087378640776,0.0379241833083157,0.0704010660439178,53.84617641837308,0.7912363769024062,0.006484080874757
2026-08-06,2637.TW,慧洋-KY,85.5,neutral,-238.0,238.0,62.80204855376821,73.90536852870551,77.60647518701795,0.3044019205660058,0.1694444444444444,0.1158480074142724,0.0947503414911197,0.0301204819277107,0.2092865961244019,63.43611727755026,0.8539427693560857,0.0395136681691672
2026-08-06,3005.TW,神基,115.5,neutral,-256.0,256.0,60.64311592085046,73.47366198725265,77.75051067605338,0.6929025540808598,0.1657407407407407,0.1371640407784986,0.05,0.03125,0.1797752625107846,60.37735849056604,0.6170362943465479,0.0221238938053096
2026-08-06,2377.TW,微星,154.0,neutral,-263.0,263.0,60.05362798212559,78.20100627049229,84.25013236661452,0.5719350384905726,0.099074074074074,0.0583873957367933,0.1323529411764705,0.0620689655172412,0.3333333333333332,62.37623762376238,1.0629288215878037,0.0562414266117969
2026-08-06,8462.TW,柏文,164.5,neutral,-269.0,269.0,59.6562061392525,73.64415884111474,78.30680974173549,0.982115441081989,0.1527777777777778,0.1325301204819277,-0.0436046511627906,0.0345911949685535,0.1864690647475679,61.42857142857143,0.6053263933482143,0.0201550387596898
2026-08-06,2376.TW,技嘉,344.0,neutral,-275.0,275.0,59.16561347732097,57.10777673242102,56.42183115078771,0.9592035360912614,0.1925925925925926,0.2363299351251158,0.1200034656720612,0.0222882615156017,0.0972886762360447,60.24222364065883,1.093300969921034,0.0380678754794328
2026-08-06,2542.TW,興富發,44.09999847412109,neutral,-278.0,278.0,58.947380152838136,62.97118842694549,64.31245785164793,0.770398767134555,0.2379629629629629,0.3725671918443002,-0.0056369787734238,0.0114678903096012,0.0327868310577814,56.66665607029206,0.6241926985340362,0.0069642375025045
2026-08-06,4106.TW,雃博,24.89999961853028,neutral,-294.0,294.0,56.47003550426275,64.70975337320013,67.45632599617926,0.6029876408858346,0.1037037037037037,0.2910101946246524,0.0755939537294516,0.0573248588197505,0.0663811225583794,49.12810991978062,2.900050694542712,0.03411230367488
2026-08-06,9945.TW,潤泰新,26.350000381469727,neutral,-296.0,296.0,56.447152500431685,62.308945737671536,64.26287681675149,0.0842038823305238,0.2037037037037037,0.1853568118628359,-0.0131086281448927,0.0193423594824555,0.1309013409561792,51.51515852102912,0.6202760822117095,9.48986932018947e-05
2026-08-06,2606.TW,裕民,64.4000015258789,neutral,-303.0,303.0,55.37983321173965,57.51450484733568,58.22606205920102,0.2885618547781181,0.1972222222222222,0.3447636700648749,0.0609555307485021,0.0206022675625101,0.0451010961565556,64.7541160450322,0.7695785139138867,0.0231967263303041
2026-08-06,2832.TW,台產,57.79999923706055,neutral,-306.0,306.0,55.14019466216183,72.35617275717908,78.09483212218483,0.3656086824319149,0.1796296296296296,0.1640407784986098,0.0069686010548501,0.0266429843752573,0.1432555014734806,58.13952663126095,1.6071503747189502,0.0098715680708831
2026-08-06,8482.TW,商億-KY,49.900001525878906,neutral,-320.0,320.0,53.436743859307214,65.87211500729286,70.01723872328807,0.393585560683148,0.137037037037037,0.3030583873957368,-0.0291828785110984,0.0417536521145924,0.059916071994315,56.862749497918735,0.6547260198492185,0.0156210542592616
2026-08-06,6214.TW,精誠,145.5,neutral,-322.0,322.0,53.24611007538207,70.60145350916564,76.38656798709349,0.3669060598642596,0.2287037037037037,0.0926784059314179,0.0139372822299652,0.0139372822299652,0.2456284239557291,59.55056179775281,2.07482603377883,0.0135841170323927
