date,symbol,name,Close,market_regime,fundamental_rank_score,fundamental_rank,fundamental_score,final_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-07-06,2059.TW,川湖,7785.0,bull,-1.0,1.0,100.0,91.41434415677783,88.55245887570378,0.195813477288535,0.03611111111111111,0.026876737720111215,0.09493670886075956,0.38523131672597866,1.3770992366412216,63.24237560192617,0.7333915448721801,0.09359086918349435
2026-07-06,2408.TW,南亞科,420.5,bull,-2.0,2.0,100.0,80.01768853705254,73.35691804940338,0.24051445117642598,0.11388888888888889,0.04819277108433735,-0.07174392935982343,0.16805555555555562,1.051219512195122,54.22297297297297,0.5738462654294488,0.006101208278502135
2026-07-06,2330.TW,台積電,2460.0,bull,-5.0,5.0,99.15374073493592,74.69930273403685,66.54782340040381,0.3152927435997988,0.33611111111111114,0.2761816496756256,0.03797468354430378,0.042944169319442116,0.2616690166068494,57.39130434782609,0.6027093211178663,0.030544317736518778
2026-07-06,2344.TW,華邦電,183.0,bull,-11.0,11.0,96.98400611250784,76.19300106473494,69.26266604881063,0.2620454654226844,0.14722222222222223,0.05282669138090825,-0.09852216748768472,0.12962962962962954,1.010989010989011,47.32142857142857,0.7130329649233172,-0.03873933026920551
2026-07-06,9946.TW,三發地產,20.0,bull,-22.0,22.0,93.8841677043543,78.42522425099494,73.27224309987515,0.6360531014944589,0.11481481481481481,0.35125115848007415,0.03896103896103886,0.16618078395700664,0.17647058823529416,58.33334090217574,0.5513176734180294,0.041531052713514205
2026-07-06,1590.TW,亞德客-KY,1385.0,bull,-23.0,23.0,92.8369943680382,69.45070771427115,61.65527882968214,0.44695143581418967,0.31666666666666665,0.2548656163113994,0.022140221402213944,0.04924242424242431,0.28837209302325584,60.273972602739725,1.1083750352147872,0.0291658926249303
2026-07-06,6781.TW,AES-KY,1250.0,bull,-32.0,32.0,90.12488103756452,81.56906728381304,78.71712936589587,0.49662156042557487,0.18888888888888888,0.267840593141798,0.10619469026548667,0.1013215859030836,0.27681307456588367,61.11111111111111,2.1990543794887283,0.07434464976364419
2026-07-06,6197.TW,佳必琪,372.5,bull,-33.0,33.0,89.98012274352672,83.49063944250423,81.32747834216342,0.28194374112954435,0.11018518518518519,0.03892493049119555,0.10322527231571677,0.16941879711033003,1.123246280690414,67.52335540279293,0.556957744226845,0.09425195795722541
2026-07-06,2395.TW,研華,515.0,bull,-49.0,49.0,87.43653384699755,69.99206086153342,64.17723653304537,0.42121545699544516,0.36018518518518516,0.1464318813716404,0.08994708994709,0.03830645161290325,0.4798850574712643,59.803921568627445,0.5891159322238481,0.05967078189300401
2026-07-06,2458.TW,義隆,179.0,bull,-50.0,50.0,86.91654017956604,80.16549535905908,77.91514708555677,0.6881262967760335,0.15,0.20667284522706209,-0.005555555555555536,0.12933753943217674,0.34586466165413543,63.86138613861385,0.8727561526308859,0.0691354337763177
2026-07-06,3014.TW,聯陽,158.0,bull,-51.0,51.0,86.91029224348934,72.21548078060009,67.31721029297034,0.818098234709268,0.35555555555555557,0.2159406858202039,0.0031746031746031633,0.03947368421052633,0.33333333333333326,57.89473684210526,0.531920289111912,0.02199223803363526
2026-07-06,2383.TW,台光電,5475.0,bull,-55.0,55.0,86.0587773245522,80.84093217507147,79.10165045857791,0.589773006763681,0.16018518518518518,0.0871177015755329,0.004587155963302836,0.12077789150460583,0.7003105590062111,57.235772357723576,1.781008318343612,0.021312316373641726
2026-07-06,3443.TW,創意,4605.0,bull,-63.0,63.0,83.63888359987813,69.15938061359321,64.33287961816491,0.7485205822001431,0.3175925925925926,0.08063021316033364,0.041855203619909576,0.048974943052391806,0.7423651300842515,46.32867132867133,1.1051695269941237,-0.01665598975016014
2026-07-06,1773.TW,勝一,185.0,bull,-65.0,65.0,83.41957208743332,69.24716664211272,64.52303149367252,0.4839715005950794,0.22962962962962963,0.29935125115848005,0.10119047619047628,0.08151504306556756,0.22899439701915014,63.2183908045977,2.1581333999664105,0.07214030399622473
2026-07-06,2248.TW,華勝-KY,58.900001525878906,bull,-69.0,69.0,82.72406063393525,66.18476335617903,60.67166426359362,0.920850101621226,0.4148148148148148,0.32808155699721964,0.07090911865234384,0.02434785262398087,0.1995927363811032,68.25398363192916,2.5440074271497792,0.052537553354678135
2026-07-06,2527.TW,宏璟,42.59999847412109,bull,-75.0,75.0,82.24426248497689,76.64312513047558,74.77607934564182,0.8787651788419577,0.10833333333333334,0.19647822057460612,0.07984784918282783,0.1719394845215636,0.3741934991651963,70.41420893010473,0.9028696412579804,0.09525641832008369
2026-07-06,4763.TW,材料*-KY,50.0,bull,-83.0,83.0,80.5798896395777,77.36935933405513,76.29918256554761,0.2905508175232109,0.13055555555555556,0.340129749768304,0.04493211273646547,0.14810564583088626,0.18623957746007247,66.25000625848921,1.250671976516883,0.08956200151189697
2026-07-06,3044.TW,健鼎,506.0,bull,-86.0,86.0,79.90151858407886,61.94386898800303,55.957985789311095,0.6802262740118827,0.45555555555555555,0.21501390176088972,0.013013013013013053,0.016064257028112428,0.3386243386243386,46.44670050761421,0.658877604430837,-0.0237785173395072
2026-07-06,2345.TW,智邦,2645.0,bull,-93.0,93.0,78.68494419785428,77.90783276711801,77.64879562353924,0.7295646236391302,0.28425925925925927,0.11862835959221502,0.13034188034188032,0.06224899598393585,0.5650887573964498,59.64125560538117,0.6817721112124921,0.06782398062171979
2026-07-06,8081.TW,致新,324.0,bull,-105.0,105.0,76.58455198143469,81.54455895342572,83.19789461075607,0.7360030267719024,0.08333333333333333,0.1417979610750695,0.10045999893652646,0.21815621904578442,0.4856209639169744,67.73060097636554,1.9934452999686587,0.12410126360240481
