date,symbol,name,Close,market_regime,final_score,fundamental_rank,fundamental_score,technical_score,stable_ensemble_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-07-07,2059.TW,川湖,8260.0,bull,91.1119335628843,1.0,100.0,88.14924475051241,0.18935654243375588,0.038817005545286505,0.020351526364477335,0.1222826086956521,0.3365695792880259,1.4619970193740683,74.54268292682927,1.6212948308820472,0.1436087362846561
2026-07-07,6197.TW,佳必琪,360.0,bull,83.52745057056973,33.0,89.98012274352672,81.37655984625073,0.280267973153462,0.16635859519408502,0.03330249768732655,0.04944960849631719,0.12326407486598945,1.0519964054994606,66.67941160545396,1.5069292831412289,0.05143112148967388
2026-07-07,2458.TW,義隆,188.0,bull,83.46395402434844,50.0,86.91654017956604,82.31309197260924,0.6899727896497395,0.0988909426987061,0.1322849213691027,-0.005291005291005346,0.20127795527156556,0.4406130268199233,66.2037037037037,2.601598274548239,0.11242603550295849
2026-07-07,6257.TW,矽格,242.0,bull,82.70129965487345,155.0,71.51600240927145,86.42973207007412,0.41493850116319847,0.09426987060998152,0.16096207215541167,0.037243472147283185,0.20398009950248763,0.375,60.25832989527046,1.6098533291806174,0.050256827554895356
2026-07-07,6719.TW,力智,284.5,bull,81.55001231821808,300.0,56.08528559586582,90.03825455900217,0.2927829584363316,0.04805914972273567,0.061979648473635525,0.05370370370370381,0.29612756264236895,0.7836990595611286,60.36866359447005,1.279363313835092,0.07683573050719161
2026-07-07,8081.TW,致新,303.5,bull,80.94070391324115,105.0,76.58455198143469,82.39275455717663,0.7332678086469043,0.07855822550831792,0.15633672525439407,0.02259866498843377,0.22868861846584654,0.38559905102978886,60.276493249986665,1.1078245355309528,0.042759336559181405
2026-07-07,2379.TW,瑞昱,776.0,bull,80.7347103360273,127.0,74.41354387638152,82.8417658225759,0.8667544900297806,0.04621072088724584,0.10638297872340426,-0.037220843672456594,0.30201342281879184,0.5275590551181102,58.75,1.2633267306950173,0.02631926993783895
2026-07-07,2302.TW,麗正,48.900001525878906,bull,80.35295657829002,394.0,48.29599018643512,91.03861204224165,0.38476426201871294,0.021256931608133085,0.012025901942645698,0.029473716334292854,0.5588707454154784,1.736684145737966,61.97134705118078,0.7151686955025535,0.09667490448436511
2026-07-07,8150.TW,南茂,109.0,bull,79.65416493803444,456.0,43.57847362995483,91.67939537406097,0.34862364061735823,0.06099815157116451,0.058279370952821465,0.09547738693467345,0.2659707224208929,0.7979258130943927,59.43006573630512,1.5242872771916756,0.08809961947029477
2026-07-07,2351.TW,順德,213.5,bull,79.6353862405716,365.0,50.10730286570861,89.47808069885927,0.4081926455364755,0.12014787430683918,0.07215541165587419,0.004705882352941115,0.16666666666666674,0.7357723577235773,61.26126126126126,1.711485097899809,0.07326881990699996
2026-07-07,6409.TW,旭隼,1185.0,bull,79.38021566400646,235.0,62.88856390334461,84.8774329175604,0.8003579488240729,0.04251386321626617,0.08048103607770583,0.09216589861751157,0.31666666666666665,0.6596638655462186,73.19078947368422,1.3797849659189234,0.1769379748721258
2026-07-07,6672.TW,騰輝電子-KY,300.0,bull,79.33920812523453,216.0,64.4879602565514,84.28962408146225,0.4292491830126943,0.029574861367837338,0.034227567067530065,0.0,0.3824884792626728,1.044035422960882,74.22360248447205,1.1239070919022751,0.14187838995147017
2026-07-07,8016.TW,矽創,352.0,bull,79.12935424401203,160.0,70.50462844759238,82.00426284281858,0.6738349902363274,0.053604436229205174,0.05550416281221091,0.06024096385542177,0.2861794046458561,0.8101784811610546,74.4186046511628,2.5172594286699117,0.13805366957646292
