date,symbol,name,Close,market_regime,stable_ensemble_score,fundamental_rank,fundamental_score,final_score,technical_score,rs20_rank_pct,rs60_rank_pct,ret5,ret20,ret60,rsi14,volume_ratio,ma20_deviation
2026-08-06,8462.TW,柏文,164.5,neutral,0.982115441081989,269.0,59.6562061392525,73.64415884111474,78.30680974173549,0.1527777777777778,0.13253012048192772,-0.043604651162790664,0.03459119496855356,0.18646906474756797,61.42857142857143,0.6053263933482143,0.020155038759689825
2026-08-06,2376.TW,技嘉,344.0,neutral,0.9592035360912614,275.0,59.16561347732097,57.10777673242102,56.42183115078771,0.1925925925925926,0.23632993512511585,0.12000346567206122,0.022288261515601704,0.09728867623604476,60.24222364065883,1.093300969921034,0.0380678754794328
2026-08-06,1438.TW,三地開發,22.450000762939453,neutral,0.9439224466313756,178.0,68.22752717503778,67.61497190357177,67.4107868130831,0.18888888888888888,0.283595922150139,-0.032327585143793525,0.02277904248842688,0.06904765537806923,66.66666666666674,0.5899325627826016,0.017563773957595563
2026-08-06,2546.TW,根基,100.0,neutral,0.9010328211106806,570.0,37.32527210445105,70.67661929686155,81.79373502766504,0.07314814814814814,0.1380908248378128,0.015228426395939021,0.08459873438104815,0.17924524058053204,60.20942073763812,1.102254283471198,0.029601029601029616
2026-08-06,2535.TW,達欣工,93.0,neutral,0.8950526669379147,196.0,66.50740970485359,71.87891184900329,73.66941256371985,0.11898148148148148,0.09823911028730306,0.07638886987917748,0.05084745762711873,0.24,70.96776257694621,3.4868134794486676,0.05633801718416254
2026-08-06,1467.TW,南緯,9.989999771118164,neutral,0.8737162201406994,970.0,14.540544369959688,70.90068063858769,89.68739272813036,0.022222222222222223,0.03521779425393883,0.059384883119783405,0.18787157578751268,0.403089878046216,62.28571169068261,1.3932531047522148,0.05263156308095929
2026-08-06,2908.TW,特力,21.700000762939453,neutral,0.8617647764385911,787.0,24.019508975015057,52.669739891704765,62.219816863934675,0.3111111111111111,0.27710843373493976,-0.013636328957297605,-0.0068649709799311065,0.07583044109232473,45.90163831908137,1.4177033248769801,-0.005841218606638443
2026-08-06,9935.TW,慶豐富,19.600000381469727,neutral,0.8497386253574716,499.0,40.70851081970746,62.961627986630894,70.3793337089387,0.09074074074074075,0.293790546802595,0.012919896386121454,0.07103831686377671,0.06521743412053915,75.55556874217449,1.7640880474734952,0.02176463996205924
2026-08-06,3034.TW,聯詠,543.0,neutral,0.8395845904184223,116.0,75.54535048945058,66.5622152034733,63.5678367748142,0.12962962962962962,0.20111214087117701,0.10590631364562109,0.046242774566473965,0.11613566289825283,72.85318559556787,0.5752492551170995,0.08981435022579021
2026-08-06,8411.TW,福貞-KY,12.949999809265137,neutral,0.8181228312799329,741.0,26.84034715613582,63.86553218677501,76.2072605303214,0.13148148148148148,0.3484708063021316,0.0,0.04435485545604023,0.04435485545604023,61.676441958805334,1.7473930758384184,0.010120235289075907
